filename,character,comment
1.png,務|請|從|畢|勢|並|儘|尋|獲|歸|計|劃|醫,（麻雀同志，「務」「請」「從」內部摧毀「畢」忠良的「勢」力，「並」「儘」快「尋」「獲」「歸」零「計」「劃」。──「醫」生。）\n（摘自大陸電視劇《麻雀》，為穿幫片段）
2.png,嘯|莊,（呼「嘯」山「莊」）\n（摘自大陸電視劇《麻雀》，為穿幫片段）
3.png,据,（北平金庫副主任家境拮「据」）\n（摘自大陸電視劇《北平無戰事》）
4.png,御,（「御」史府）
5.png,曆,（大明萬「曆」年間）\n（萬「曆」朝鮮戰爭）
6.png,民|屍,（中國國「民」黨）\n（「屍」檢報告）\n（「屍」體）\n（摘自大陸電視劇《麻雀》）
7.png,屍,（「屍」檢室）\n（摘自大陸電視劇《麻雀》）
8.png,淀,（北京市海「淀」區）
9.png,閒,（「閒」聊）
10.jpeg,邁|鄉|餘|嚮,（豪「邁」的重慶人）\n（來自家「鄉」的大廚）\n（二十「餘」年廚藝修煉）
11.png,岳,（亡娣華山「岳」靈珊之墓）\n（摘自大陸電視劇《笑傲江湖（2018）》，「岳靈珊」為「岳不群」之女，根據金庸原著應為「岳」姓）
12.png,症,（重「症」監護區）\n（摘自大陸電視劇《麻雀》）
13.png,云,（朱子「云」）
14.png,瀏|歷|寧|隨|游|咸|鏡|琿|里,（「瀏」覽、「歷」史、遼「寧」、「隨」著、下「游」、朝鮮「咸」「鏡」北道、「琿」春、平方公「里」）
15.jpeg,曆,（農「曆」乙亥年）
16.jpeg,髮,（女子養「髮」育「髮」館）
17.png,鍾,（「鍾」婷）
18.jpeg,后,（九球天「后」）
19.jpeg,里,（九萬「里」）\n（註：「裏」為「裡」之異體，長度單位「里」不可寫作「裡（裏）」。）
20.jpeg,里,（傅作義將軍故「里」）
21.png,里,（三千餘「里」又今年）
22.png,臺,（閬苑瑤「臺」風露秋）
23.png,岳,（亡娣華山「岳」氏靈珊之墓）\n（摘自大陸電視劇《笑傲江湖（2018）》，「岳靈珊」為「岳不群」之女，根據金庸原著應為「岳」姓）
24.jpeg,舍,（現在修行人喜歡單獨住精「舍」）\n（摘自臉書公開社團《宣化上人弘法資料平台》）
25.png,板,（「板」手、「板」子）\n（摘自世界佛教總部《南無第三世多杰羌佛親傳〈禪修大法〉》）
26.png,周,（「周」處除三害）
27.png,遊,（「遊」戲）
28.png,征,（萬曆三大「征」）
29.png,檯,（打過「檯」球的朋友一定都知道）
30.png,鍾,（「鍾」記質肆）\n（摘自大陸電視劇《大唐狄公案（2024）》）
31.png,鍾,（「鍾」掌櫃）\n（摘自大陸電視劇《大唐狄公案（2024）》）
32.png,歷|裡,（900年「歷」史古村落）\n（畫「裡」鄉村）
33.png,面,（蕭恩來到這座房子「面」前）
34.jpeg,舍,土地平曠，屋「舍」儼然（摘自陶淵明《桃花源記》）
35.jpeg,髮|並,黃「髮」垂髫，「並」怡然自樂（摘自陶淵明《桃花源記》）
36.jpeg,云,自「云」先世避秦時亂，率妻子邑人來此絶境，不復出焉，遂與外人間隔（摘自陶淵明《桃花源記》）
37.jpeg,云,此中人語「云」：「不足爲外人道也。」
38.jpeg,斗,財源廣進，日進「斗」金
39.png,後,五日「後」
40.png,斗,「斗」轉星移\n（摘自大陸電視劇《薄冰》）
41.png,表,「表」情太好……
42.png,里,三百餘「里」
43.png,盡,最後更投河自「盡」
44.png,盡,極「盡」奢華
45.png,准,批准令上的「准」字\n（摘自大陸電視劇《張學良》）